Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Nr1i2,16,38248323,38294824
4930562F07Rik,1,160074735,160077985
Gm37714,9,108825349,108825690
Pex12,11,83294642,83302586
Asgr1,11,70054085,70057894
Gm42765,5,30529457,30543830
Gm37309,1,38992678,38994316
4930523C07Rik,1,160044382,160080208
Gm43720,5,138264952,138279958
Igkv18-36,6,69992465,69992977
Gm37589,3,60535751,60539744
Cib4,5,30485583,30545836
Gal3st4,5,138264921,138272840
Spin2-ps2,X,74677268,74678045
Rpl18a,8,70894722,70897412
Mbnl1,3,60472830,60629750
Gm14911,X,117663894,117664882
Igkv1-35,6,70010949,70011673
Ackr4,9,104084157,104126933
Gm14914,X,117706498,117708528
Gm16199,6,120005998,120006285
Acly,11,100476353,100528000
Gm45336,8,92465767,92469665
Gm44529,7,83814707,83838345
Atg7,6,114643097,114860614
Smim12,4,127243784,127247809
Gm29322,9,56239285,56240751
Gm44993,7,83800422,83834599
Gm36940,9,56414031,56416066
Npy,6,49822710,49829507
Peak1,9,56201126,56418067
Mapkbp1,2,119972699,120027408
Gm44528,7,83864590,83865481
Gm37750,9,104053327,104053455
Gm28305,9,104040662,104075879
BC037034,5,138259656,138264033
Wnk1,6,119923969,120038672
Acad11,9,104063377,104127725
Gm17088,6,134168879,134172007
Gm43984,6,134084601,134087464
Etv6,6,134035700,134270158
Gm45256,8,46299131,46325674
Gpam,19,55069734,55099451
Gm45255,8,46313801,46314611
Gm18007,6,49858003,49858846
Gm44090,6,86039934,86041767
Peak1os,9,56257890,56267780
Gm14277,2,157168820,157169179
Gm37842,9,56263599,56265167
Ap2b1,11,83299024,83405035
Gipc3,10,81337762,81343266
Rbl1,2,157145893,157204534
Gm12847,4,115818857,115822655
Gm45254,8,46363251,46367204
Zfp28,7,6383295,6396915
Clca4a,3,144952480,144975045
4930527E20Rik,2,30803793,30807429
Prkd3,17,78949405,79020816
Gm18417,17,55850482,55851129
Ptdss2,7,141122382,141157606
Gm3455,6,50051186,50107628
Kif2a,13,106958996,107022126
Uckl1,2,181569149,181584892
Gm45253,8,46372106,46385888
Gm45245,8,46451929,46452304
Tomm7,5,23838944,23844161
Jchain,5,88519809,88527891
Zfp672,11,58315114,58330339
Gm16471,X,102138613,102139230
Adarb1,10,77290726,77418270
Zfp119a,17,55864892,55878930
Maats1os,16,38302616,38305020
Phc2,4,128654702,128752881
Gm43742,3,144972124,144982560
Gal3st2,1,93861306,93876494
Maats1,16,38297754,38342143
Gm17077,7,30955825,30958004
Gm16233,3,144947561,144954878
Zfp959,17,55892120,55898928
1700051K13Rik,6,134245671,134246366
Gm12948,4,127296784,127297465
Lsr,7,30957770,30973464
Gm17089,6,134233158,134243711
Mob3c,4,115828092,115836185
1700047K16Rik,11,58322988,58324439
Gm43982,6,134073354,134075182
Gpc2,5,138273655,138280005
Zfp692,11,58307069,58314627
Gm45134,7,44212069,44214718
Il1f9,2,24186476,24193568
Ercc6l,X,102141716,102157091
Gja4,4,127311421,127314039
En1,1,120602418,120607992
Gm16677,14,69327999,69337082
Gm13999,2,120024807,120027453
4930431L21Rik,3,33866813,33897584
Klk1b5,7,44215945,44220703
2700038G22Rik,5,23850597,23855038
Gm20451,17,36507180,36508952
Gm26994,8,112554617,112569575
Rap1gapos,4,137696979,137706606
Gm8307,1,45768337,45769486
Gm6236,3,9899430,9902377
Gm13657,2,75777188,75782306
Gjb3,4,127325235,127330844
Prickle1,15,93499114,93595891
Gm13669,2,75808358,75808814
Smad9,3,54755582,54801257
Traj55,14,54161439,54161501
Gm13670,2,75822028,75822793
Cyp2a4,7,26307169,26315088
Bag5,12,111709488,111713257
Fkbp14,6,54577604,54597308
Gm43081,5,108311370,108312749
Gm11511,11,90516777,90517316
Pigg,5,108312609,108349355
Klk1,7,44225360,44229618
Gm11512,11,90538484,90539146
Gm17136,7,126176124,126176534
Stxbp4,11,90476492,90638084
Rpl21-ps6,17,55915403,55915870
Gm17137,7,126164033,126168403
Celsr3,9,108826320,108852969
Gm17877,3,9971188,9972001
Gm44963,7,26304421,26307286
Ktn1,14,47648448,47736564
Fsbp,4,11579665,11587591
Smpx,X,157698910,157752591
Xpo6,7,126101715,126200501
Zfp119b,17,55938381,55949500
Tlk1,2,70712407,70825728
Ssc5d,7,4925785,4944826
Gm11832,4,11611139,11615007
RP24-89C4.5,9,59826257,59941077
Rad54b,4,11558922,11615805
Gm10109,7,44221017,44227421
Gm9103,X,102178194,102178657
RP24-89C4.4,9,59884984,59885397
Ltc4s,11,50236469,50238616
Atp6v0a2,5,124628576,124724455
Gm18666,1,93906244,93916768
Map7,10,20148471,20281590
Plekha8,6,54595111,54645839
6330418K02Rik,5,138264043,138266661
Snapc5,9,64179274,64183132
Dnajb12,10,59879556,59899302
Smarcal1,1,72583251,72633134
1110017D15Rik,4,41505009,41517333
Sbk2,7,4940512,4964406
Fabp5,3,10012548,10016607
Gm43586,6,70040338,70040647
Xlr3d-ps,X,74696047,74704076
4930502C17Rik,3,33956200,33957147
Gm16145,10,63353853,63366887
Igkv8-34,6,70044112,70044678
Srp14,2,118475850,118479711
Sirt1,10,63319005,63381704
Igkv7-33,6,70058632,70059199
Traj54,14,54161990,54162043
Dnhd1,7,105650827,105721799
Gm15365,X,74713502,74713801
Traj53,14,54162644,54162709
Gm15722,15,86087640,86090060
Gm13983,2,118483313,118484177
Gramd4,15,86057695,86137634
Gm38378,14,69395504,69397771
Gm44531,7,83866777,83868776
Gm21451,14,69390854,69480287
Gm44530,7,83874362,83877920
Gm4081,1,56976803,56978640
Igkv6-32,6,70074024,70074603
9130024F11Rik,1,56971412,57050084
Gm14917,X,117870536,117872640
Zkscan17,11,59485520,59526751
Gm36011,7,71088427,71116539
Prpf6,2,181591868,181655660
Il1f6,2,24215418,24225702
Mroh8,2,157208550,157279549
Gm45065,7,71097047,71123594
Gm37094,14,69495851,69500390
Gm27179,14,69508632,69512549
6030442E23Rik,7,71217049,71224409
Timm10b,7,105640056,105643637
RP24-541B4.5,10,39169300,39173252
Gm37847,14,69502600,69504096
Rfxap,3,54803115,54807791
Bmf,2,118528757,118549687
Gm45483,8,61075365,61077046
Gm27221,14,69348897,69352259
4930447C11Rik,6,146846276,146847203
RP23-238C13.2,8,61050049,61053942
Gm16179,8,61112130,61112502
RP24-389J11.1,10,39198538,39199301
Entpd4,14,69337174,69367270
Gm45484,8,61024131,61025271
Satb2,1,56793981,56978650
RP24-389J11.2,10,39245046,39255100
Irx6,8,92674288,92680956
Gm37488,3,60604384,60607757
Dapk2,9,66158223,66272242
Zcchc10,11,53324679,53333301
Nek1,8,60993195,61131346
Traj52,14,54165316,54165381
Hamp2,7,30922389,30924681
RP23-158C15.6,10,20267049,20286647
Tmem254c,14,26063919,26067355
Ren1,1,133350510,133360325
Rps4x,X,102184941,102189394
Traj51,14,54166239,54166281
RP23-288C18.3,10,20208490,20208888
RP23-288C18.2,10,20199240,20201838
Gm27175,14,69502856,69523605
Fam175a,5,100805192,100820965
Gm45505,8,92680172,92682194
WI1-1735G24.1,9,40547360,40561393
Gm16867,14,69363504,69503362
2610027F03Rik,1,120621740,120690403
WI1-1735G24.3,9,40555086,40560929
Ighv8-8,12,115294062,115294504
Gm6500,X,117886441,117886891
Usf2-ps1,7,30926668,30927147
Hamp,7,30942368,30944032
Traj50,14,54167590,54167652
4930579F01Rik,3,138164078,138193825
Atp5j,16,84827866,84835625
Gm37703,2,24231868,24233651
Rpn2,2,157279017,157326319
Gfy,7,45176349,45179569
Tctn2,5,124598749,124627738
Gm13409,2,24261830,24266338
Kcnk3,5,30588170,30625271
Usf2,7,30945248,30956803
Gm9994,1,93918311,93942650
Dnhd1,7,105640552,105684439
Gm9899,5,30573987,30588619
Traj49,14,54168686,54168747
Smco2,6,146850104,146871406
Gm7972,9,75468616,75486681
Gm14916,X,117887019,117887222
RP23-138K22.4,9,40606416,40616386
Gm14912,X,117888113,117889885
Popdc2,16,38362209,38378216
Gfi1b,2,28609450,28621982
Gm14915,X,117902937,117903140
Samd10,2,181595218,181599212
Gm14909,X,118121022,118121372
Lias,5,65391497,65410693
Bud31,5,145140362,145148078
Gm3272,8,92715747,92716975
RP23-283A2.1,10,39282341,39323417
Gabpa,16,84834925,84863779
Fgb,3,83040141,83049863
Gm14910,X,118231183,118232987
Gm43432,5,88545036,88545156
Ptgs1,2,36230426,36252272
Gm21987,16,38347040,38362297
Utp3,5,88554462,88556090
Cox17,16,38346991,38352763
Gm20677,14,18846035,18846182
Gm15916,14,18830906,18832075
Gm43513,5,100814210,100815285
4930471D02Rik,10,93897158,93901956
4933439C10Rik,11,59505662,59513647
Gm43514,5,100820330,100820753
Gm29346,1,120758443,120763565
Gm20699,14,18712339,18714502
Gm20678,14,18587517,18590427
Arfip2,7,105634203,105640416
Agpat3,10,78269178,78352489
Gm29344,1,120825247,120825456
RP23-11D11.1,8,112880460,113004997
Ube2e2,14,18573575,18894267
Gm29345,1,120816500,120836997
Igfbpl1,4,45809468,45826923
Uckl1os,2,181578480,181585170
Cntnap4,8,112570043,112882717
1110003F10Rik,5,65405751,65406517
Gm38335,3,10022311,10025539
Gm43311,5,65410651,65413027
Qtrt1,9,21411837,21420274
Ntmt1,2,30807826,30823033
Rbm7,9,48488701,48495299
Gm29295,7,71351451,71391272
Exoc8,8,124893108,124897705
Gm45066,7,71331493,71334043
Gm29328,7,71264275,71379972
Gm29797,2,181657034,181659467
Hspe1-ps3,5,25391608,25391884
Tmem97,11,78541817,78550777
Gm42585,5,25369020,25373039
Gm9791,3,34005017,34005463
Gm43676,5,111197140,111197679
Sox18,2,181669836,181671640
Xlr4d-ps,X,74727229,74734141
Gm42780,5,111028552,111029285
5730422E09Rik,5,149119565,149184063
Gm15988,5,111008480,111008846
Kmt2c,5,25271798,25498783
Gm43621,2,36248709,36250730
Fgf8,19,45736798,45742915
Cul7,17,46650337,46664364
Gm42787,5,149128584,149129957
Gm7889,1,93975353,93985816
Gm43332,5,149183183,149184226
Mrap,16,90738324,90749785
Gm43677,5,111158311,111160688
Acp5,9,22126727,22135711
Pth2,7,45180995,45181838
Gm6890,X,74740927,74742188
Gpx2-ps1,7,100264675,100265245
Ttc28,5,110879803,111289780
Uspl1,5,149184350,149215434
Pgm2l1,7,100227394,100278868
Gm29348,1,120847989,120857486
Cldn19,4,119255414,119262438
Gm29347,1,120856674,120858010
Igkv8-31,6,70105860,70106415
Sprtn,8,124897886,124906161
Gm43077,3,34017708,34019882
Ptcd1,5,145147514,145167108
Gm10254,3,54810384,54811250
Gm20454,17,36534281,36534501
Gm14755,X,74758539,74758922
Gm20453,17,36545888,36546113
Gm26957,17,79041946,79042922
RP24-77I7.2,8,124897894,124900130
Sertm1,3,54897068,54915887
Tcea2,2,181680310,181688071
Gm37555,17,79810308,79825414
D11Bhm181e,11,78561319,78561600
Sbk3,7,4965260,4971168
1110051M20Rik,2,91275068,91444704
H2-M11,17,36547075,36549250
RP23-138K22.5,9,40667960,40669107
1700028J19Rik,7,44229930,44236122
Olfr1327-ps1,X,74762045,74762879
Gm21915,9,40670613,40671014
Gm8868,17,36558621,36561668
Gm14758,X,74775685,74775822
Gm12927,4,119252522,119256975
Gm14695,X,74783672,74786540
Traj48,14,54169808,54169868
Etnk2,1,133363572,133380336
Mtf1,4,124802104,124849800
Gm43652,3,127863184,127863858
Gm43903,6,89526839,89527455
Gm42586,3,127861599,127865261
Hps3,3,19995945,20035315
Gm15989,5,110905244,110905741
Chchd6,6,89383146,89595652
RP23-138K22.3,9,40679645,40680407
Gm42778,5,110978665,110979217
Gm44689,7,71681775,71688447
Gm43782,5,118875811,118877465
RP23-187B11.7,9,22117328,22137756
Gm7675,7,71696714,71697399
4930412C18Rik,4,9770585,9823411
Gm6086,1,93990509,94017147
Gm4673,7,30956909,30961619
Traj47,14,54171800,54171856
Gm27204,9,72774063,72776225
Gm37749,1,147089037,147090935
1110008P14Rik,2,32377097,32381938
Gm44662,7,30916983,30946824
Ghrh,2,157329497,157347506
Mesdc1,7,83879873,83884305
Traj46,14,54172336,54172398
Msmb,14,32142026,32158370
Rnh1,7,141160326,141172857
Gm20715,7,6410277,6441691
5730508B09Rik,3,127869058,127896324
Gm4997,X,155150952,155151311
Gm11617,11,101306742,101307380
Smim17,7,6398715,6432093
Tmod3,9,75497796,75559657
Gm42826,3,125216915,125219553
Gm44688,7,71706076,71706612
4930404A12Rik,5,124721997,124725079
1810008I18Rik,7,65803111,65806449
Gas7,11,67455437,67688990
1110065P20Rik,4,124849080,124851196
Crk,11,75679259,75706908
RP24-343G19.3,7,83892262,83896397
Gm17954,3,113631578,113632184
Mesdc2,7,83884466,83901532
Olfr1344,7,6439836,6440896
Mrc2,11,105292643,105351139
Gm44135,6,129696118,129696485
Gm16306,7,6399054,6399636
Mrps36-ps2,7,105690259,105690567
Nlrp9c,7,26322473,26403700
Gm9796,11,95696894,95699143
Ddx52,11,83942062,83963088
Gm16307,7,6405175,6405384
Manbal,2,157367594,157396763
Ptrh1,2,32775786,32777597
Gm43017,5,3544037,3544788
Fam133b,5,3543833,3570238
Mmp2,8,92827291,92853420
Maneal,4,124855239,124862171
Map1s,8,70905932,70917529
Cfap157,2,32777381,32784428
RP24-365N15.9,9,75520374,75520502
Gm13787,2,91344022,91344189
Yrdc,4,124850679,124855242
Arfgap2,2,91264974,91276931
Aif1,17,35170991,35176068
Gm15169,X,157757427,157798019
Cacng1,11,107703218,107716522
Gm16397,X,134731571,134732064
Gm37254,1,187236457,187240357
Gm9931,1,147280758,147281942
Gm38155,1,187344970,187377469
Wdr59,8,111448797,111522092
Src,2,157418444,157471862
Gm17988,7,71717837,71718371
Psme3,11,101316213,101323537
Gpatch2,1,187215508,187351704
4930441H08Rik,7,71909693,71939191
Cox11,11,90638173,90644931
Gm14016,2,118594079,118594564
Mlxip,5,123394798,123457932
Gm17867,1,147503868,147506042
Gm5905,7,141177885,141178464
Rcvrn,11,67695326,67703333
Tgif2lx2,X,118427227,118428256
9830132P13Rik,3,127916172,127955220
Gm37043,1,120868996,120872100
Gm12301,11,67571622,67577466
Gm38284,1,147515726,147520264
Clmp,9,40685962,40785319
Plrg1,3,83055522,83072355
Glp2r,11,67661502,67771153
Tom1l1,11,90643465,90688366
Gm8617,X,74789937,74792158
1700011C11Rik,7,71961173,72027317
Gm36633,7,71947520,71962018
Gm16178,8,61117605,61194648
Gm45213,7,66043602,66062271
Gm29516,1,147990085,147990552
0610031O16Rik,3,138210716,138240405
Gm43053,3,127970709,127972881
Pex19,1,172126755,172136493
Snrpa1,7,66059003,66074587
Kcnt1,2,25863734,25918273
Prrg2,7,45053584,45062677
Slc35f6,5,30647933,30659729
Gm6990,19,56754999,56755346
Gm16095,9,40718906,40719986
Adh7,3,138217760,138233382
RP23-138K22.2,9,40747281,40762673
Rgs19,2,181688419,181693977
RP23-138K22.1,9,40715158,40720034
Bub1b,2,118598211,118641591
Gm16096,9,40780742,40784181
Gm43342,5,118928123,118935962
Wdr75,1,45795166,45823619
Traj45,14,54172828,54172890
4930413E15Rik,5,118952339,118961261
Gnb4,3,32580332,32616585
Ccnb1,13,100778650,100786570
Gm43784,5,118994561,118996996
Gm42987,5,100884133,100886482
1700081H04Rik,5,119108234,119114543
Klhl34,X,157818435,157820369
Agpat9,5,100845713,100899102
Gm6745,5,24009887,24010412
Gm7102,19,61174686,61176309
Fam126a,5,23915276,24030690
Akp-ps1,1,87067672,87071098
Gm43082,5,108360187,108363885
Pcdh10,3,45378398,45435623
E330017A01Rik,16,58635167,58638739
Tgif2lx1,X,118479708,118480737
P4ha3,7,100285520,100319699
Gm37821,1,39048648,39057637
Gm37091,1,39081252,39083338
Gm42907,5,123397240,123399387
Pcsk6,7,65861734,66050386
Gm15747,5,123393649,123397957
Gm43813,5,123406487,123411864
Traj44,14,54173690,54173750
Gm13710,2,84500760,84531322
Mtm1,X,71210767,71315691
Gm42908,5,123401072,123401941
Celrr,1,121087405,121178441
Gm45599,7,101525376,101538330
Vdr,15,97854425,97910630
Tnn,1,160085029,160153580
Art2a-ps,7,101552453,101560865
Gm5617,9,48495442,48495972
Nosip,7,45062429,45078210
Smc4,3,69004738,69034623
Gm10344,X,134745495,134746913
Il1f5,2,24276954,24283426
Adamtsl5,10,80339110,80348412
Axdnd1,1,156323509,156421159
Gm7538,5,119194484,119200018
Gm11650,11,107793866,107795982
4930458D05Rik,5,100840797,100847167
Ccdc155,7,45183624,45204892
Gm31314,5,119518795,119527954
Cacng4,11,107732357,107794557
Gm20432,5,25433036,25433285
Gm18343,5,25450305,25450908
Gm10650,3,128038693,128040661
Gm29515,1,148234517,148248378
Gm2136,3,45438380,45440956
Gm14859,X,102208402,102208758
1700027H10Rik,3,45416584,45439310
Gm19891,1,148498508,148498810
Hras,7,141189105,141194005
Stra6l,4,45848664,45887008
Gm18505,1,148650345,148651134
Usp47,7,112023504,112111661
Gm7027,7,101573460,101574321
D030025E07Rik,3,128117015,128231606
Cited1,X,102247381,102252181
Aloxe3,11,69125896,69149115
Gm10171,1,172144274,172144901
Cp,3,19957054,20009145
Stk39,2,68210445,68472268
Gm17775,3,113729232,113729489
Gm4034,1,148937897,148938376
Gm11833,4,11649647,11650499
Gm29022,1,148941097,148941321
Art2b,7,101576970,101585600
Gm9725,8,81013576,81061195
Gm20450,17,36597898,36598044
Ccdc186,19,56787481,56822190
Gm14279,2,157521697,157522028
Gm5703,1,148975522,148979494
Dnajc30,5,135064202,135065862
Gm8615,5,149155108,149156209
Usp38,8,80980733,81014928
Gm14287,2,157528869,157528985
Gm37640,3,32610861,32613513
Gm14286,2,157544266,157545469
Hmgb1,5,149046702,149184489
Lkaaear1,2,181696793,181698442
Wbscr22,5,135052957,135064959
Cldnd1,16,58727910,58734251
Gm38279,9,83174647,83175777
Traj43,14,54174742,54174798
Igkv8-30,6,70117061,70117620
Gm2000,1,156366040,156366484
Pdxk,10,78436744,78464975
Traj42,14,54175773,54175836
Nphs2,1,156310727,156328035
Gm45107,7,72110761,72113456
Urb1,16,90751527,90810413
RP24-462O14.2,7,72156094,72157133
Traj41,14,54176271,54176325
Mknk1,4,115839198,115879250
Mctp2,7,72077830,72306608
Gm20684,7,65861006,65861992
Zfp579,7,4983483,4996158
Traj40,14,54177921,54177981
Fam219a,4,41517691,41569538
Nnat,2,157560078,157562522
RP23-227D17.1,8,113067262,113093334
Oprl1,2,181715016,181720985
Armcx6,X,134748461,134751417
Agps,2,75832177,75931350
Traj39,14,54179962,54180024
Olfm2,9,20667690,20746349
Spin2-ps3,X,74804799,74805560
Gm19040,6,114738534,114743259
Gm42518,5,108364037,108364974
C330027C09Rik,16,48994185,49019709
St3gal3,4,117932154,118134914
Gm44332,6,114751530,114751962
Gm42517,5,108366073,108366547
Gm44331,6,114789390,114789777
Gm43656,3,128280658,128281091
Mup-ps19,4,61957149,61959911
Apoa2,1,171225054,171226379
Cemip,7,83932857,84086502
Blcap,2,157556362,157571274
Alppl2,1,87086694,87089928
Glis1,4,107434591,107635061
Gm10419,5,108367769,108378239
Pigyl,9,22156846,22158358
Ovol3,7,30233439,30235725
Gm15549,8,68798867,68799488
Gm12404,4,41520694,41525823
Mup-ps20,4,62012412,62014857
Klri1,6,129697218,129717132
Ints10,8,68793929,68831667
Fam219aos,4,41517437,41518929
Dnaja2,8,85537633,85555344
Ybx1,4,119277981,119294604
Platr27,2,157595583,157597320
Gem,4,11704457,11714752
Cep85,4,134129858,134187112
Unc80,1,66468367,66699866
Nmt2,2,3284212,3328877
Gm19014,14,26079108,26080296
Gm6063,6,71641612,71642096
Gm29371,1,87080171,87096418
Ccdc28a,10,18213676,18234998
Gm42788,5,149144263,149153540
Ctnnbl1,2,157737401,157891614
RP23-440L7.5,9,64228339,64230795
Gm45424,8,85599832,85603131
Map2k1,9,64185770,64253631
Gm45425,8,85605462,85610761
Gm16276,17,56014283,56014544
H2-M9,17,36639285,36642666
Mpnd,17,56005711,56016790
A730062M13Rik,9,72869652,72871561
Gm37234,9,72889045,72890485
Prtg,9,72806874,72917291
Gkn1,6,87345650,87350942
Cnksr2,X,157821436,158043294
Rgs12,5,34949445,35039644
Gm4468,15,99810289,99810582
Gm17057,15,99819020,99834570
Gm17824,5,47634502,47635306
Gm14489,2,181724042,181724942
Gm44768,6,71672095,71672678
9530034E10Rik,4,117975036,117993972
Gm15443,1,149025228,149026047
Lima1,15,99778470,99875428
Usp19,9,108490602,108502337
Gm29434,4,115878317,115878576
Gm12784,7,34544472,34581691
Rpl19-ps9,6,71683298,71683885
Gm43824,3,128610987,128887161
Klri2,6,129729041,129740484
Gm3010,5,47699845,47700292
Gm4410,3,128839836,128840521
Olfr1345-ps1,7,6446874,6447117
4933424H11Rik,3,128699533,128701550
Gm18751,1,149037584,149039596
Gm10654,8,70931405,70933037
Gm44837,7,34636996,34637712
Gm29020,1,149106115,149127320
Rpl9-ps5,17,36657056,36657626
Adamts20,15,94270163,94465418
Gm14176,2,157901536,157902012
Pla2g4b,2,120033417,120043030
Trav14n-1,14,53166626,53167178
Olfr1336,7,6456031,6466817
Hmg20a,9,56418609,56496936
Gm6755,14,53172727,53173590
Bcl2l14,6,134396318,134438736
1700010H22Rik,5,98553629,98567004
Vstm2l,2,157914653,157944719
Gm13077,4,152157007,152157490
Gm5287,4,72893781,72894378
Uchl4,9,64235201,64236362
Gm27203,9,72827257,72827563
Nlrp4a,7,26435113,26476142
E030032P16Rik,5,98346394,98349324
Amd-ps1,X,155155195,155156188
Gm43767,5,98453747,98454127
Olfr334-ps1,2,36285023,36285914
1700007G11Rik,5,98329304,98802047
Hes2,4,152158867,152162469
Trav15n-1,14,53174325,53174896
Olfr336-ps1,2,36323324,36324263
Tuft1,3,94612757,94658872
Olfr337-ps1,2,36336611,36337136
Gm11251,4,73029819,73036074
Anapc16,10,59987409,60003135
Cdh17,4,11758147,11817895
Gm27216,9,83240481,83254540
Tti1,2,157981803,158028433
Gm44293,6,134308951,134403415
Gm44875,7,126224247,126248238
A3galt2,4,128755364,128769298
Gm44703,7,126242380,126242627
Gm44448,6,134404077,134424353
Dnajc12,10,63382443,63408840
RP23-72A20.11,9,83346159,83353978
Myt1,2,181763332,181827797
Atg4a-ps,3,103643954,103646068
Sbk1,7,126272619,126295016
Apopt1,12,111713261,111754980
RP23-407B23.4,9,89550698,89560384
Gm37896,1,187447877,187462664
Gm16064,5,119646134,119659262
Syt6,3,103575231,103645569
Gm27680,5,111329738,111330544
Tbx3,5,119670669,119684724
Plk5,10,80356459,80365489
Gm18227,9,22167479,22170652
Tmem254b,14,26203369,26207041
Gm18701,1,149173060,149174595
Gm44181,6,93455075,93455557
Rpl15-ps3,9,22185607,22186221
Gm9387,3,128953779,128955098
AF529169,9,89587216,89623125
Gm7812,6,93649352,93650225
Gm37630,1,149408490,149409945
Gm29359,1,121224276,121227526
Ighv1-58,12,115312166,115312599
Gm28543,3,129067805,129070544
Gm12338,11,75599763,75599954
Jmjd7,2,120027483,120032594
Gm38189,1,149410723,149412179
Gm2274,14,26156036,26163648
Cers5,15,99734881,99772885
Cphx3,14,26082297,26235744
Pitpna,11,75588097,75628804
Ccdc102a,8,94902869,94918098
RP24-340L11.5,9,89638072,89646002
Znhit6,3,145576205,145604795
Gm15995,12,111726392,111727127
Plac9b,14,26167405,26182480
Gm11594,11,97322328,97322489
Acot7,4,152178134,152271855
RP24-340L11.6,9,89667273,89668471
Gm15996,12,111730094,111731831
Atg3,16,45158785,45188538
Mrpl45,11,97315716,97329920
