Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
CTC-505O3.1,5,115770586,115770989
CTC-505O3.2,5,115755644,115756286
RNF181,2,85595725,85597613
RPL10P3,9,117180628,117181095
RP11-2G17.1,3,149357169,149357545
RPS21P4,4,16256308,16256555
MARK2P8,3,128748538,128749489
COX6B2,19,55349306,55354814
CTD-2105E13.6,19,55352301,55359516
MTERF1,7,91692008,91880720
EHD2,19,47713343,47743134
TMEM229B,14,67447084,67533739
LILRB3,19,54216278,54223506
PES1,22,30576625,30607083
LRRC45,17,82023302,82031151
RP11-537A6.9,10,73381433,73383496
LILRA6,19,54236592,54242791
RP11-323A7.1,9,75401889,75402992
UBE2V1P8,1,40942251,40942515
TRIM15,CHR_HSCHR6_MHC_MCF_CTG1,30241686,30251176
BBS5,2,169479178,169506655
RP11-348A7.1,1,40938104,40939763
LIPG,18,49560699,49599182
PABPC1P4,12,63822021,63823895
RP11-798K3.2,15,66984108,67065268
AC079799.2,7,83355154,83362266
RP11-609L23.3,12,42627008,42627137
RP11-613F22.7,11,18450112,18450868
RP11-508N22.12,10,38137337,38144399
MYADML2,17,81939645,81947233
WIZ,19,15419980,15449951
TMEM241,18,23197144,23437961
KCNE5,X,109623700,109625172
PTPRC,1,198638671,198757283
HCAR3,12,122714756,122716892
AP006621.8,11,823634,832883
NOL4,18,33851100,34224952
RAB28P5,X,136847384,136848034
C1QL3,10,16513743,16522005
RP11-809N15.2,6,104831129,104845820
NACA3P,4,164943290,164943937
RPS24P17,16,56906534,56906956
GGCT,7,30496621,30504844
PAPPA,9,116153804,116402322
RP11-461K13.1,10,16278701,16295858
KIR3DL1,CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1,54802842,54817184
PYCR1,17,81932384,81942412
UBE2FP3,1,111437514,111438037
MSH5,CHR_HSCHR6_MHC_MCF_CTG1,31816274,31839440
RP11-552M11.8,1,111431046,111433068
ANOS1,X,8528874,8732186
PUSL1,1,1308567,1311677
SLC12A3,16,56865207,56915850
HNRNPA1P72,11,84545131,84546846
LINC01207,4,164754064,164803795
AC005785.5,19,15383202,15383832
KB-1639H6.2,8,103020187,103021428
RP11-51J9.4,8,30176554,30180888
MBOAT4,8,30131824,30144686
RP11-927P21.11,17,64940606,64940717
RP11-546K22.1,8,51961458,52022974
RP11-546K22.2,8,51996210,52008355
RP11-546K22.3,8,51950284,51950690
ARHGEF6,X,136665547,136782088
YWHAZP2,2,126557435,126558162
AC005776.1,19,15338948,15339237
CSRP2,12,76858715,76879060
TM2D1,1,61681046,61725423
RP1-63M2.5,20,33674517,33675380
LINC02127,16,51017758,51035777
ADIPOR1,1,202940823,202958572
RP11-949J7.8,3,49416777,49429314
LINC00857,10,80207710,80219657
RPS12P2,10,80215851,80216119
CTD-2034I21.1,16,50856614,50879278
RP11-435O5.6,9,95494924,95495379
RP11-191L9.5,22,47662559,47663603
RP11-56N19.5,1,11777077,11779619
NPPA-AS1,1,11841017,11848079
KIR2DL4,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54803535,54814517
RP11-706O15.8,X,3953056,3953561
LINC00898,22,47621043,47631569
SARAF,8,30063012,30083208
LINC01644,22,47461299,47487111
AC093616.4,2,87700984,87738105
CITF22-49D8.1,22,47345569,47373541
RP1-111J24.1,22,47259366,47261007
KIR2DS4,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54832765,54848078
AC002480.3,7,22563337,22573996
BTF3P12,8,70273369,70273837
CCDC8,19,46410372,46413584
NPPA,1,11845709,11848345
MPZ,1,161304735,161309972
LINC01347,CHR_HSCHR1_3_CTG32_1,243056307,243101744
AP002530.2,6,102078872,102079555
RP11-322A17.3,X,76250183,76251796
ZNF252P-AS1,8,145002811,145006046
MARS,12,57475445,57517569
ODF2,9,128455186,128501292
TMEM88,17,7855065,7856099
SCARF1,17,1633858,1645747
TPM4P1,10,100114417,100115223
Cyp2c44,10,100105754,100140151
SLC39A2,14,20999255,21001871
EPHX3,19,15226919,15233435
ZNF16,8,144930358,144950888
RP11-288L9.1,1,27660328,27662722
NPM1P47,15,62082450,62083305
RP11-744O11.2,3,175675087,175676801
C2CD4A,15,62066977,62070917
PGLS,19,17511629,17521288
RP11-791N19.1,X,7489659,7491199
SLC27A1,19,17468769,17506168
RP11-539D10.2,Y,25009700,25010769
RP4-631H13.2,1,52881216,52881730
RP11-46I8.4,17,5126740,5127010
PKD1L1,7,47774652,47948491
LINC00525,7,47761476,47766772
PLA2G2D,1,20111939,20119566
KLB,4,39406853,39451536
RP11-43D2.2,5,124707827,124710737
RP11-161D15.1,4,173897252,173929525
LILRP2,CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1,54707923,54712937
LTA,CHR_HSCHR6_MHC_MCF_CTG1,31648357,31650629
FGFBP3,10,91906589,91909483
RPL29P23,11,33190062,33190503
SUGP1,19,19276018,19320844
RP11-1360M22.2,15,20046296,20047994
LILRA1,CHR_HSCHR19LRC_PGF1_CTG3_1,54524093,54532898
FAM30B,15,20012741,20014208
BTBD7P1,10,13156684,13158136
RP11-346C4.3,13,107870383,107873372
ZNF653,19,11483427,11505923
RP11-181K3.4,1,183138402,183141282
RP11-131H24.5,CHR_HSCHR14_7_CTG1,93895762,93897759
RP11-421N10.1,7,67769629,67770468
E2F6P2,22,21141624,21142371
TEAD3,6,35473597,35497076
CTD-2303H24.2,17,18511221,18551705
RP11-329A6.1,2,123850522,123850695
BTF3P1,8,51721670,51722164
AUH,9,91213815,91361913
FAM155A,13,107163510,107866735
PROSC,8,37762593,37779767
GABRR1,6,89177501,89231278
THEMIS,CHR_HSCHR6_1_CTG8,127708072,127918597
MRPS5P4,18,60519841,60520165
RPSAP22,2,85490930,85491780
ID2-AS1,2,8666636,8681863
RP11-396N11.1,18,60294151,60301118
PGAM1P3,3,40322715,40323279
SLC12A5,20,46021690,46060152
PRKX-AS1,X,3659487,3668192
ATP6V1E1,22,17592136,17628818
KIR2DS1,CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1,54860710,54875253
AC073409.1,2,123443266,123444445
LINC01826,2,123066151,123073481
VGLL2,6,117265558,117273565
AC062020.2,2,123065321,123067722
DNAJC5G,2,27275421,27281499
RPS15P9,19,1307401,1307719
RP5-1021I20.8,14,73885392,73885555
KRTAP9-2,17,41226648,41227652
KRTAP9-1,17,41189887,41190639
YWHAZP3,10,23136924,23137661
AC090954.5,3,15131848,15132208
RPL7AP61,13,97901653,97902288
ENKD1,16,67662945,67667265
AGTRAP,1,11736084,11754802
RP6-24A23.6,X,108722070,108732687
MYDGF,19,4641374,4670370
RP11-286B14.1,1,95510116,95782342
HAL,12,95972662,95996365
PCBP2-OT1,12,53464468,53465057
HIST1H2BPS1,6,25731782,25732091
LINC00667,18,5237826,5246508
ADCY5,3,123282296,123449758
RP11-835E18.4,18,5240255,5241167
RP11-797D24.4,3,123283593,123283983
RP11-760L24.1,18,59563709,59568615
DNAJA3,16,4425805,4456775
ADGRA1,10,133070929,133131675
HCG4P5,CHR_HSCHR6_MHC_MANN_CTG1,29931024,29932015
C4orf46,4,158666679,158672255
RP11-61A14.4,16,66751752,66754740
ADORA2BP1,1,209744373,209745214
SPECC1L-ADORA2A,22,24270898,24442356
ARSE,X,2934632,2968310
AP000355.2,22,24516508,24518386
LINC01754,20,47391929,47412327
RP11-613H2.3,8,27010486,27010746
FLJ31104,5,55995167,56003649
LAP3P2,6,36673817,36675270
MICD,CHR_HSCHR6_MHC_MCF_CTG1,30049251,30050914
RPL35P9,13,106425773,106426122
DDX39BP2,CHR_HSCHR6_MHC_MCF_CTG1,30071672,30072068
RP11-480I12.9,1,202861754,202875241
RPL7P52,22,40106325,40107066
UBE2V1P6,2,169115195,169115680
NCAM2,21,20998315,21543329
HLA-U,CHR_HSCHR6_MHC_MANN_CTG1,29923115,29923300
AC106875.1,2,11681460,11683328
MUC5B,11,1223066,1262172
KIF1C,17,4997948,5028401
MMP24,20,35226654,35277000
RP11-42O4.2,20,35174355,35174919
RP11-459O1.2,6,88298950,88421033
TNRC6B,22,40044817,40335808
PROCR,20,35172073,35216240
MT1P3,20,35218009,35218185
ANKRD30A,10,37125788,37384111
C1orf105,1,172420688,172468831
TMEM161BP1,10,37337415,37338871
RUNDC3B,7,87627548,87832296
PLAC9,10,80131682,80145359
AC007879.5,2,207239864,207529795
RP11-507K12.1,7,17299295,17467234
LRRC37A2,17,46511511,46555650
AP000688.14,21,36069642,36126640
AP000688.29,21,36104881,36109690
PIDD1,11,799179,809753
EIF2D,1,206571292,206612463
IGHV3-15,CHR_HSCHR14_3_CTG1,106154393,106154934
CTC-276P9.4,5,135034521,135035894
RP11-545D19.1,X,34206725,34415537
RP11-281B1.2,X,34387722,34388464
RP11-85G21.2,1,157287703,157288053
DLGAP2-AS1,CHR_HSCHR8_5_CTG1,1565035,1621861
CPEB1,CHR_HSCHR15_5_CTG8,82622289,82720771
RP11-467J12.2,16,52942139,52943464
LINC02020,3,186440345,186450696
GS1-115M3.4,X,145768095,145768342
RP11-417L14.1,9,107169569,107171148
CTD-2331C18.5,11,61227168,61248533
MBNL2,13,97221434,97394120
CHIAP2,1,111280059,111286116
RP1-223E5.4,6,13614111,13615155
RP1-43E13.2,1,19210501,19240704
MRTO4,1,19251539,19260128
SIRT5,6,13574529,13615158
AHDC1,1,27534035,27604431
PHKG2,16,30748270,30761176
FKBP14,7,30010587,30026684
HLA-DOA,CHR_HSCHR6_MHC_MCF_CTG1,33037640,33043074
RP1-159A19.4,1,27525805,27530561
EAF1,3,15427355,15450635
DACT3,19,46647612,46661138
GYG2,X,2828788,2882820
ATP8A2P2,13,32477274,32478841
ILF3,19,10654261,10692417
RP11-124D2.3,14,23356406,23357003
PLBD1-AS1,12,14567750,14619755
SRCAP,16,30698209,30741409
RP11-680N20.1,18,32954075,32957998
RP11-1151M9.1,CHR_HSCHR5_2_CTG1_1,69593256,69594998
RORB,9,74497365,74693177
CYP2A7,19,40875439,40882752
RP4-614C15.2,20,59352195,59357774
RP11-48C7.8,9,137605744,137711018
LDHAL6EP,4,71434405,71437924
PIK3CD-AS1,1,9652610,9654586
N4BP2L1,13,32400723,32428311
RP11-540H22.2,9,106584142,106591952
RP11-520P18.1,CHR_HSCHR8_4_CTG7,143065916,143066603
RP11-308N19.3,9,106615078,106615806
RP11-530A18.1,6,5065795,5066982
RP11-436M15.3,14,99977115,99978098
OR2T3,CHR_HSCHR1_ALT2_1_CTG32_1,248475795,248476751
RP11-95H11.1,2,206821190,206822294
CTB-12A17.2,19,46636810,46639161
AC008592.7,5,95964999,95986311
HLA-H,CHR_HSCHR6_MHC_MCF_CTG1,29879004,29881726
HCG4P8,CHR_HSCHR6_MHC_MCF_CTG1,29824263,29825242
RP11-341G2.3,9,1151807,1152140
C1orf147,1,206491116,206497728
RP11-188C12.3,9,137867925,137892570
HCG18,CHR_HSCHR6_MHC_APD_CTG1,30354705,30391047
RP3-417G15.1,X,133670971,133671386
PCED1A,20,2835314,2841190
HCG17,CHR_HSCHR6_MHC_APD_CTG1,30226495,30390031
SUOX,12,55997180,56006641
CDRT8,17,15105237,15106187
STK24P1,X,136295690,136300298
CA12,15,63321378,63382161
ZNF888,19,52904417,52923481
RP11-563E2.2,4,163108785,163119965
CTD-2331H12.7,19,52923382,52924075
AC004231.2,17,40921430,40975926
RP11-1275H24.3,7,5428731,5429672
RP4-612B18.1,1,171824610,171824959
AC016994.2,2,106834464,106841207
TRMT6,20,5937235,5950558
MPPED1,22,43411196,43507848
HIST2H2BE,1,149884459,149886652
CTA-212D2.2,6,135055033,135060550
MTND4P12,5,134926660,134928036
AC108868.3,2,106470799,106477669
LINC02031,3,182644214,182655880
LINC01995,3,182498264,182507124
OTULIN,5,14664664,14699711
AC022816.2,17,14374139,14421026
MT1B,16,56651899,56653204
RP11-101P17.15,13,21287634,21287828
AGER,CHR_HSCHR6_MHC_MANN_CTG1,32220356,32223712
RP11-458F8.4,7,66902857,66906297
RP11-369E15.2,8,20954012,20968904
RP11-464C19.2,10,3833950,3834728
DPY19L2P5,10,79982910,79983240
FBRS,16,30658431,30670814
RP11-138A23.1,4,159375099,159375322
RPL21P116,15,78863247,78863729
HS6ST2,X,132626016,132961395
ILF3-AS1,19,10651862,10653844
CCDC120,X,49053572,49069857
CD40,20,46118272,46129863
USP40,2,233475520,233566782
RPP30,10,90871716,90908553
RP11-42A4.1,4,84371393,84380189
POLD1,19,50384204,50418018
SNHG10,14,95532297,95534872
STT3B,3,31532638,31637622
EXOSC9,4,121801317,121817021
PGGT1BP2,10,79892148,79893175
COMP,19,18782773,18791314
DAQB-335A13.8,CHR_HSCHR6_MHC_MCF_CTG1,29742604,29746182
AC008753.6,19,53854581,53869107
RP11-266L9.3,16,25093387,25095255
RP11-160C18.4,15,78752107,78753373
RP11-406O23.2,9,109760360,109772043
AC092106.2,2,106247369,106247741
STK4-AS1,20,44963794,44966402
ZNF564,19,12525370,12551542
TNPO1P2,17,18460391,18463055
VPS52,CHR_HSCHR6_MHC_COX_CTG1,33171888,33193647
THEM7P,11,32112049,32343409
RP11-605P22.1,7,37796058,37796888
CTD-2192J16.11,19,12552597,12553644
LILRB5,CHR_HSCHR19LRC_PGF1_CTG3_1,54251026,54258210
SETMAR,3,4303304,4317567
LRG1,19,4536409,4540474
PRELID3B,20,59033145,59042909
CTB-50L17.14,19,4528427,4540067
TMEM52B,12,10170542,10191801
RP11-146N23.1,9,19200335,19201046
TRIM15,CHR_HSCHR6_MHC_APD_CTG1,30155693,30165183
ZNF70P1,CHR_HSCHR6_MHC_COX_CTG1,33137325,33137948
RPS9P1,21,36132450,36133032
MEIS3,19,47403124,47419523
CTD-2583A14.10,19,57819719,57858941
RP11-483F11.7,10,99651989,99653905
ZC2HC1C,14,75064170,75079987
ZNF587B,19,57819741,57846238
GBP2,1,89106132,89150456
CTD-2325P2.4,14,68627166,68628445
RP3-414A15.11,14,73517233,73520648
LNP1,3,100401193,100456319
C20orf196,20,5750393,5863912
BAIAP3,16,1333601,1349441
RP11-53I6.2,18,32018829,32111779
RP11-344B2.3,18,32245946,32249032
RP11-725G5.2,14,95329584,95335504
PRPF38A,1,52404564,52420839
TMEM219,16,29940885,29973052
CCER1,12,90905622,90955176
C17orf49,17,7014495,7017525
RP11-20L19.1,12,90809276,90810680
RP11-632B21.1,12,90617759,90622822
AC008088.4,17,20530042,20530881
HCG18,CHR_HSCHR6_MHC_DBB_CTG1,30281062,30317397
WNT1,12,48978453,48981676
RP11-1348G14.8,16,28822431,28823969
PRMT1,19,49675786,49689029
CABIN1,22,24011192,24178628
RP11-535M15.2,9,96725890,96727469
RP11-128A17.1,15,37099339,37100173
RBM5,3,50088908,50119021
COL11A2P1,CHR_HSCHR6_MHC_COX_CTG1,33025668,33029223
PMFBP1,16,72112157,72176878
NTF4,19,49061066,49065054
OR2H1,CHR_HSCHR6_MHC_QBL_CTG1,29457053,29464201
CTB-60B18.22,19,49056088,49058761
LINC01896,CHR_HSCHR18_ALT2_CTG2_1,78976555,78979074
RP11-850A17.1,18,54268346,54270028
RALGAPA1P1,9,105520128,105526359
RP11-204L24.2,2,121530422,121532705
RP11-104J23.1,17,36001419,36011618
DGKD,2,233354507,233472104
HMGN1,21,39342315,39349647
RPL30P2,2,152131555,152131845
ISCA1P4,15,40948736,40948869
CTD-2012K14.7,16,67561411,67562309
OR2N1P,CHR_HSCHR6_MHC_QBL_CTG1,29137868,29138804
XXbac-BCX196D17.5,CHR_HSCHR6_MHC_QBL_CTG1,29124201,29128899
MGARP,4,139266163,139280338
UQCRHP1,CHR_HSCHR6_MHC_COX_CTG1,31598491,31598764
ABCB10P1,15,23179869,23182049
RP11-271F18.4,10,10418739,10462349
RP11-271F18.3,10,10394670,10395737
CTD-3099C6.11,19,52597699,52598887
KHDRBS1,1,32013829,32060850
XAGE1B,X,52512077,52520803
PDDC1,11,767220,777488
SORBS3,8,22544986,22575788
ARHGAP31-AS1,3,119314293,119322760
AC017101.10,2,186641339,186695287
ZNF528-AS1,19,52388842,52397766
LINC02118,5,52008031,52080987
LRRC71,1,156920650,156933094
ANKS3,16,4696510,4734378
MRPL42P4,7,47026128,47026570
ATG4C,1,62784135,62865513
PYCARD,16,31201485,31203450
TEP1,14,20365667,20413429
RP11-476K15.1,18,1509183,1647097
KRTCAP2,1,155169408,155173475
RP5-1028K7.1,17,40597113,40598585
SKIV2L,6,31959080,31969755
SHMT1,17,18327860,18363563
FAM175A,4,83459517,83523348
ZNF880,19,52369917,52385795
MUC6,11,1012821,1036706
RPL7AP25,3,181505075,181505879
RP11-275H4.1,3,181421058,181442486
SLC35A5,3,112561709,112585577
KYAT3,1,88935773,88992953
SOX2-OT,3,180989770,181836880
ZBTB43,9,126805006,126838210
RP11-862G15.1,CHR_HSCHR14_7_CTG1,92886352,92893506
TRIM66,11,8612037,8671866
RP11-69E9.1,1,22835713,22836849
RP11-128A17.2,15,37109587,37109984
RP11-597G23.1,15,37253879,37254952
CTD-2335O3.3,5,51451158,51462089
DMD-AS3,X,32754940,32756400
OLFM1,9,135075422,135121179
TBCAP1,X,33041395,33041721
CTB-139P11.2,7,75625089,75626970
NPM1P8,X,32205902,32206738
PYGO1,15,55538890,55588947
KATNBL1P4,5,51930808,51932036
RP11-182I21.2,5,51963992,51964445
HIP1,7,75533300,75738962
LINC02183,16,54542808,54559100
AMPD3,11,10308313,10507579
AC007491.1,16,54628963,54657662
LINC00470,18,1254383,1408344
RP11-82O2.2,1,101882516,101882894
FAM96AP1,3,28427963,28428444
GABRD,1,2019298,2030758
RPS12P5,3,29390848,29391218
RBMS3-AS1,3,29926811,29934156
C18orf63,18,74315813,74359187
OLFM3,1,101802574,101997030
RP11-9J18.1,3,28349178,29767537
RPS26P5,21,16121310,16121644
DUSP2,2,96143166,96145440
AP000962.1,21,16525919,16527019
RP11-288C17.3,18,1357651,1357942
AP000962.2,21,16574718,16582637
RP11-288C17.1,18,1362445,1363873
AP001172.3,21,16417139,16419080
AP001172.2,21,16291791,16308133
DMD,X,31097677,33339441
USP9YP34,Y,17984349,17993260
RP11-28A22.2,17,34614409,34614809
SVIL,10,29457338,29736781
RBMS3,3,28574791,30010391
TMEM132E,17,34580749,34639318
RP11-932A10.1,14,57355446,57359410
FAUP1,18,74389884,74390297
WDR95P,13,31063306,31115699
FAM156A,X,52926402,52995472
USP9YP32,Y,17995201,17997252
HMGB1P51,15,58672296,58672933
RP11-50C13.1,15,58587507,58591676
RP11-123C21.3,15,58732188,58733149
CDY8P,Y,18022299,18023908
RP11-219A15.4,17,16788057,16816540
HSP90AB4P,15,58691106,58693125
RP11-123C21.1,15,58686411,58686617
RP11-614O9.1,CHR_HSCHR14_2_CTG1,104596165,104596991
AC092687.4,2,10847577,10854955
UPF3AP1,17,16745636,16746761
AC015933.2,18,27954519,27963687
C14orf180,CHR_HSCHR14_2_CTG1,104586828,104597659
RP11-245G13.1,2,10874291,10874567
LINC02061,5,32646564,32651976
PHKA2,X,18892300,18984598
MRPS17P3,3,78525101,78525485
IL2RB,22,37125838,37175054
NPRL3,16,84271,138860
Z69720.2,16,90631,91102
RP11-10A14.9,8,9158063,9158621
OR5AK4P,11,57037534,57038436
YBX1,1,42682427,42702349
RP11-686D22.3,17,35406948,35407818
RP11-686D22.7,17,35409602,35410228
RP11-798K23.4,5,179503322,179515579
RP11-156K13.3,8,17905756,17907887
SRRM4,12,118981495,119163051
RP11-686D22.5,17,35400878,35403006
SENP1,12,48042898,48106308
FGL1,8,17864380,17910365
RP11-798K23.1,5,179455415,179456095
RP1-13D10.3,6,16163377,16163762
HMGN2P15,17,42753530,42753799
PRSS1,7,142749468,142753076
RP11-156K13.1,8,17801345,17861069
TRBV10-1,7,142399860,142400377
FBXO43,8,100133360,100145800
RP11-472G23.10,6,150040547,150042033
AC003045.1,7,117439982,117440780
RP11-126M14.1,6,115358498,115358752
ZNF571,19,37554782,37594790
DCAF12,9,34086387,34127399
FAM89A,1,231018958,231040246
FOXS1,20,31844301,31845619
WFIKKN2,17,50834650,50842348
TMEM55A,8,90993796,91041064
VARS,CHR_HSCHR6_MHC_QBL_CTG1,31781844,31786187
GS1-251I9.3,8,91016588,91018655
UBQLN1P1,6,30363112,30364280
AP3B1,5,78000525,78294755
RP11-536P16.2,CHR_HSCHR15_1_CTG8,28332230,28336599
DDX41,5,177511577,177517469
CPA4,7,130293134,130324180
PPRC1,10,102132994,102150331
RP5-875H18.4,17,50100704,50101920
CAPS2,12,75275979,75390928
RP11-467N20.8,CHR_HSCHR15_1_CTG3,23196959,23197164
RPL36P16,19,41169861,41170166
ZNF540,19,37551406,37614097
RP11-401E14.2,6,15994944,15999797
FAM170A,5,119629559,119635822
FABP5P6,5,119555250,119555658
RP1-166H4.2,6,45573346,45576770
SPACA5,X,48004336,48009729
ADCY10P1,6,41101022,41140835
TSKS,19,49739753,49763330
AP000479.1,11,56848478,56878078
FAM86LP,7,6931684,6939603
EARS2,16,23522014,23557731
RP11-399J13.2,11,65118310,65119111
RP11-71H17.7,3,124723788,124726325
FAM110B,8,57994509,58204279
RP11-1112C15.2,8,58031334,58032682
SAR1P1,CHR_HSCHR6_MHC_MANN_CTG1,29076537,29077132
TPRG1-AS1,3,188941715,188947639
TPRG1-AS2,3,189238686,189240594
LINC00934,12,119283825,119303380
HMGB3P26,14,103364239,103364820
CDH7,18,65750252,65890341
ACTG1P24,17,17242010,17242886
CPSF4,7,99438922,99457371
CTA-250D10.19,22,41981304,41982217
AL133245.2,2,32321638,32323002
BUD31,7,99408641,99419616
RFX4,12,106582907,106762803
SLC8B1,12,113298759,113359493
OR5AZ1P,11,57917297,57918239
AC079354.6,2,202231696,202231849
RP11-734C14.2,11,57870322,57870571
BMT2,7,112819147,112939916
RP11-799D4.4,17,35231450,35242963
CFAP58-AS1,10,104351591,104353575
AC016724.6,2,112995517,112995937
ATG3P1,20,39329014,39329924
CTD-2086O20.1,19,37401404,37403846
RP11-14C10.2,15,101580893,101581556
ELK1,X,47635521,47650604
AC018717.2,2,199108584,199110088
RP11-775G23.1,18,65606090,65652053
KRT16,17,41609778,41615899
AZU1,CHR_HSCHR19_5_CTG2,825097,832018
RP11-344A16.2,15,57720295,57720928
POLR2M,15,57706629,57782762
C8orf59,8,85214076,85220421
HMGB3P2,20,36076018,36076601
RP11-295M18.6,1,220828676,220829211
LRRC3,21,44455486,44462196
RP11-418J17.3,1,119260265,119327303
ARHGEF7-IT1,13,111122652,111144264
TECRP1,4,86949669,86950113
LRP3,19,33177603,33208867
UBAP2,9,33921693,34048949
RP1-313L4.3,1,167820406,167821224
RP11-884K10.6,3,53797764,53798019
RP11-1035H13.3,16,18788063,18801519
RP1-52D1.1,X,87425583,87425690
ADCK1,14,77800083,77935012
RP11-247A12.8,9,129175807,129177575
RP11-294J22.6,17,50693448,50695449
RP11-166N17.3,10,32281686,32282829
RP11-56G10.2,12,74538145,74538633
FAM65C,20,50586108,50691528
C10orf76,10,101845599,102056193
XXbac-BPG118E17.9,CHR_HSCHR6_MHC_QBL_CTG1,31000494,31025446
C6orf205,CHR_HSCHR6_MHC_QBL_CTG1,30973281,30979676
CHRNB3,8,42697376,42737407
AMPD2,1,109616104,109632051
CTD-2311M21.2,15,74350768,74364620
HCG15,CHR_HSCHR6_MHC_MANN_CTG1,28986169,28987450
RP11-142A5.1,7,91380778,91556848
LINC00368,13,111095838,111103097
RP11-617F23.2,15,90024955,90026003
C17orf67,17,56791913,56838773
RP11-241I20.5,10,32111644,32111789
RP11-17P16.2,4,67638177,67638359
XXbac-BCX105D18.9,CHR_HSCHR6_MHC_COX_CTG1,32102303,32120449
C11orf86,11,66975277,66977004
RNPS1P1,4,11371975,11372892
RP11-449P1.1,12,22742582,22743091
RP11-153K16.1,12,23099368,23191587
FRG2,CHR_HSCHR4_6_CTG12,190028329,190031235
TTC39C,18,23992773,24135610
RP11-403A21.3,18,24076794,24099320
FERMT1,20,6074845,6123544
RP11-430C7.5,1,204626775,204629712
RGS7,1,240775515,241357230
RP11-166B14.1,12,73648666,73649039
OR5M9,11,56462469,56463401
SREBF2,22,41833079,41907308
CGGBP1,3,88051944,88149885
RP11-57C13.4,10,87591607,87606024
RP11-265F19.1,3,131053317,131072339
RFC5,12,118013588,118033130
MTND5P16,3,106898889,106900591
MTCO3P35,3,106896891,106897671
RP5-1142A6.2,16,88731180,88741425
OR8K1,11,56346039,56346998
CCL18,CHR_HSCHR17_7_CTG4,36064636,36072388
RP11-1259L22.1,5,178350867,178352250
CPB2,13,46053186,46105076
RP11-82L20.1,1,71570956,71573558
PCBD1,10,70882280,70888784
TRAF3IP2,6,111556454,111606278
RP4-635E18.9,1,11012662,11030528
SFR1,10,104122058,104126385
RP11-15E1.5,9,66014525,66020816
DUX4L26,3,75668931,75670185
TRAF3IP2-AS1,6,111483511,111598302
EIF4A3,17,80135214,80147183
RP6-91H8.2,14,71181456,71182106
TTC39A,1,51287258,51345116
TMC6,17,78110458,78132407
RP11-897M7.1,12,131469311,131492951
TNRC6C-AS1,17,78107398,78111799
POF1B,X,85277396,85379743
CTD-2270L9.2,16,23446446,23447282
RP11-136I13.1,4,10410996,10411644
HMGA2,12,65824131,65966295
TPCN1,12,113221050,113298585
RP11-366L20.2,12,65851340,65882167
TFAMP2,11,109907004,109907741
RP11-462G22.2,CHR_HSCHR4_6_CTG12,189703881,189704490
AC006499.4,4,10267895,10268231
AC114271.2,19,10333436,10336248
AC004692.5,7,43274159,43274582
TBATA,10,70771239,70785401
LSM2,CHR_HSCHR6_MHC_MCF_CTG1,31873692,31883281
RP3-412A9.15,22,31155966,31156647
ACSL1,4,184755595,184826818
RP11-76C10.2,12,131030570,131035487
TRBV24OR9-2,9,33649047,33649614
CBX4,17,79833156,79839429
AF146191.4,CHR_HSCHR4_3_CTG12,189780336,189899116
RP11-288K12.1,12,1695830,1698044
ADIPOR2,12,1688574,1788678
RP11-161H23.10,12,49389516,49390162
NEIL1,15,75346955,75357114
ERVH48-1,21,42916803,42925646
AC097721.2,2,138418284,138501698
RP11-57B24.1,4,82691737,82692468
C16orf70,16,67109958,67148539
RCSD1,1,167630093,167706249
SDK2,17,73334384,73644089
RPL21P10,14,77683202,77683989
PPP1R16B,20,38805705,38923024
DXO,CHR_HSCHR6_MHC_DBB_CTG1,31951992,31954474
CBX2,17,79778132,79787983
HSPD1P2,8,7891003,7892555
HSPE1P24,1,10895761,10895998
MT1XP1,1,16241213,16241398
RPL7P4,CHR_HSCHR6_MHC_QBL_CTG1,30686326,30687055
CKS1BP3,5,62512246,62512482
RPSAP39,4,80161129,80162011
VENTXP5,8,33722305,33723079
